Data;asset;quotation;quantity;value;average-price;value-average-price;recommendation-percentage;current-percentage;difference-percentage;fix;profit-percentage;profit-value
2026-06-30;HSML11;85.52;12;1026;94;1132;0.02;0.02;0.00;2;-0.09;-106
2026-06-30;KNCR11;107.69;41;4415;105;4300;0.07;0.07;0.00;-3;0.03;115
2026-06-30;LVBI11;103.27;34;3511;109;3707;0.06;0.06;0.00;0;-0.05;-196
2026-06-30;MCCI11;94.77;73;6918;90;6555;0.11;0.12;-0.01;-5;0.06;364
2026-06-30;PCIP11;78.77;45;3545;85;3843;0.06;0.06;0.00;0;-0.08;-298
2026-06-30;PVBI11;71.35;53;3782;76;4053;0.07;0.06;0.01;5;-0.07;-272
2026-06-30;RBRR11;78.53;62;4869;87;5377;0.09;0.08;0.01;5;-0.09;-508
2026-06-30;RBRX11;8.12;665;5400;7;4589;0.09;0.09;0.00;-14;0.18;811
2026-06-30;XPCI11;85.00;68;5780;83;5622;0.09;0.10;-0.01;-6;0.03;158
2026-06-30;XPLG11;91.94;28;2574;101;2830;0.05;0.04;0.00;1;-0.09;-256
2026-06-30;XPML11;103.97;52;5406;105;5456;0.11;0.09;0.01;7;-0.01;-50
